Emotion,Icon,Attribute
admiration,"images/admiration.png","Adoration icons created by AbtoCreative - Flaticon"
amusement,"images/amusement.png","Amused icons created by Darius Dan - Flaticon"
anger,"images/angry.png","Angry icons created by Freepik - Flaticon"
annoyance,"images/annoyed.png","Annoyed icons created by Sofyan Rofiq"
approval,"images/approval.png","Positive icons created by Freepik - Flaticon"
caring,"images/caring.png","Acceptance icons created by Freepik - Flaticon"
confusion,"images/confused.png","Confused icons created by Bakuh Huda - Flaticon"
curiosity,"images/curious.png","Curious icons created by Pixel perfect - Flaticon"
desire,"images/desirepngg","Desire icons created by Freepik - Flaticon"
disappointment,"images/disappointed.png","Emoji icons created by Freepik - Flaticon"
disapproval,"images/disapproval.png","Dislike icons created by Freepik - Flaticon"
disgust,"images/disgusted.png","Disgusted icons created by iconixar - Flaticon"
embarrassment,"images/embarrassed.png","Embarrassed icons created by Ruslan Babkin - Flaticon"
excitement,"images/excited.png","Excited icons">Excited icons created by Freepik - Flaticon"
fear,"images/fear.png","Fear icons created by justicon - Flaticon"
gratitude,"images/thank-you.png","Thank you icons craated by Freepik - Flaticon"
grief,"images/grief.pne","Icons created by Flat Icons - Flaticon"
joy,"images/joy.png","Joy icons created by Freepik - Flaticon"
love,"images/love.png","Heart icons created by Freepik - Flaticon"
nervousness,"images/nervous","Nervous icons created by Freepik - Flaticon"
optimism,"images/optimistic.png","Attitude icons created by Freepik - Flaticon"
pride,"images/proud.png","Proud icons created by June Design - Flaticon"
realization,"images/realize.png","Lightbulb icons created by srip - Flaticon"
relief,"images/relieved.png","Relieved icons created by Flat Icons - Flaticon"
remorse,"images/remorse.png","Remorse icons created by Freepik - Flaticon"
sadness,"images/sad.png","Sad icons created by Pixel perfect - Flaticon"
surprise,"images/surprised.png","Surprised icons created by Freepik - Flaticon"
neutral,"images/neutral.png","Neutral icons created by Freepik - Flaticon"
